 Taegu Pyungkwang River Catchment:  Calibration Data                             
 Starting Subcatchment     1
 Subcatchment : Extracted study basin: Taegu Pyungkwang River                                   
 TL =     5.45
SUMAC =     1.00
 SZQ   0.63446E+00
 SUBCATCHMENT ROUTING DATA
 Maximum Routing Delay   0.41667E+00
 Sum of histogram ordinates      1.0000
  0.10000E+01
 Initial Balance BAL -0.31784E+00
 Initial SBAR         0.31584E+00
 Initial SR0          0.20000E-02
   it       p        ep       q(it)       quz      q       sbar       qof
  100 0.000E+00 0.638E-04 0.111E-03 0.570E-04 0.111E-03 0.277E+00 0.000E+00
  101 0.000E+00 0.521E-04 0.111E-03 0.529E-04 0.111E-03 0.277E+00 0.000E+00
  102 0.000E+00 0.368E-04 0.110E-03 0.492E-04 0.110E-03 0.277E+00 0.000E+00
  103 0.000E+00 0.178E-04 0.110E-03 0.457E-04 0.110E-03 0.277E+00 0.000E+00
  104 0.000E+00 0.000E+00 0.110E-03 0.424E-04 0.110E-03 0.277E+00 0.000E+00
  105 0.000E+00 0.000E+00 0.110E-03 0.394E-04 0.110E-03 0.277E+00 0.000E+00
  106 0.000E+00 0.000E+00 0.110E-03 0.366E-04 0.110E-03 0.277E+00 0.000E+00
  107 0.000E+00 0.000E+00 0.109E-03 0.341E-04 0.109E-03 0.277E+00 0.000E+00
  108 0.000E+00 0.000E+00 0.109E-03 0.317E-04 0.109E-03 0.277E+00 0.000E+00
  109 0.000E+00 0.000E+00 0.109E-03 0.294E-04 0.109E-03 0.278E+00 0.000E+00
  110 0.000E+00 0.000E+00 0.108E-03 0.274E-04 0.108E-03 0.278E+00 0.000E+00
  111 0.500E-03 0.000E+00 0.108E-03 0.254E-04 0.108E-03 0.278E+00 0.000E+00
  112 0.000E+00 0.000E+00 0.108E-03 0.236E-04 0.108E-03 0.278E+00 0.000E+00
  113 0.000E+00 0.000E+00 0.108E-03 0.220E-04 0.108E-03 0.278E+00 0.000E+00
  114 0.000E+00 0.000E+00 0.107E-03 0.204E-04 0.107E-03 0.278E+00 0.000E+00
  115 0.000E+00 0.000E+00 0.107E-03 0.190E-04 0.107E-03 0.278E+00 0.000E+00
  116 0.000E+00 0.000E+00 0.107E-03 0.177E-04 0.107E-03 0.278E+00 0.000E+00
  117 0.000E+00 0.102E-04 0.106E-03 0.164E-04 0.106E-03 0.278E+00 0.000E+00
  118 0.000E+00 0.198E-04 0.106E-03 0.153E-04 0.106E-03 0.278E+00 0.000E+00
  119 0.000E+00 0.280E-04 0.106E-03 0.142E-04 0.106E-03 0.278E+00 0.000E+00
  120 0.000E+00 0.342E-04 0.106E-03 0.132E-04 0.106E-03 0.279E+00 0.000E+00
  121 0.000E+00 0.379E-04 0.105E-03 0.123E-04 0.105E-03 0.279E+00 0.000E+00
  122 0.000E+00 0.395E-04 0.105E-03 0.115E-04 0.105E-03 0.279E+00 0.000E+00
  123 0.000E+00 0.379E-04 0.105E-03 0.107E-04 0.105E-03 0.279E+00 0.000E+00
  124 0.000E+00 0.342E-04 0.104E-03 0.993E-05 0.104E-03 0.279E+00 0.000E+00
  125 0.000E+00 0.280E-04 0.104E-03 0.924E-05 0.104E-03 0.279E+00 0.000E+00
  126 0.000E+00 0.198E-04 0.104E-03 0.860E-05 0.104E-03 0.279E+00 0.000E+00
  127 0.000E+00 0.960E-05 0.103E-03 0.800E-05 0.103E-03 0.279E+00 0.000E+00
  128 0.000E+00 0.000E+00 0.103E-03 0.745E-05 0.103E-03 0.279E+00 0.000E+00
  129 0.000E+00 0.000E+00 0.103E-03 0.694E-05 0.103E-03 0.279E+00 0.000E+00
  130 0.000E+00 0.000E+00 0.102E-03 0.646E-05 0.102E-03 0.279E+00 0.000E+00
  131 0.000E+00 0.000E+00 0.102E-03 0.602E-05 0.102E-03 0.280E+00 0.000E+00
  132 0.000E+00 0.000E+00 0.102E-03 0.560E-05 0.102E-03 0.280E+00 0.000E+00
  133 0.000E+00 0.000E+00 0.102E-03 0.522E-05 0.102E-03 0.280E+00 0.000E+00
  134 0.000E+00 0.000E+00 0.101E-03 0.486E-05 0.101E-03 0.280E+00 0.000E+00
  135 0.000E+00 0.000E+00 0.101E-03 0.453E-05 0.101E-03 0.280E+00 0.000E+00
  136 0.000E+00 0.000E+00 0.101E-03 0.422E-05 0.101E-03 0.280E+00 0.000E+00
  137 0.000E+00 0.000E+00 0.100E-03 0.393E-05 0.100E-03 0.280E+00 0.000E+00
  138 0.000E+00 0.000E+00 0.100E-03 0.366E-05 0.100E-03 0.280E+00 0.000E+00
  139 0.000E+00 0.000E+00 0.998E-04 0.341E-05 0.998E-04 0.280E+00 0.000E+00
  140 0.000E+00 0.000E+00 0.995E-04 0.318E-05 0.995E-04 0.280E+00 0.000E+00
  141 0.500E-03 0.414E-04 0.992E-04 0.296E-05 0.992E-04 0.281E+00 0.000E+00
  142 0.000E+00 0.799E-04 0.989E-04 0.276E-05 0.989E-04 0.281E+00 0.000E+00
  143 0.000E+00 0.113E-03 0.986E-04 0.257E-05 0.986E-04 0.281E+00 0.000E+00
  144 0.000E+00 0.138E-03 0.983E-04 0.240E-05 0.983E-04 0.281E+00 0.000E+00
  145 0.000E+00 0.153E-03 0.980E-04 0.224E-05 0.980E-04 0.281E+00 0.000E+00
  146 0.000E+00 0.160E-03 0.977E-04 0.208E-05 0.977E-04 0.281E+00 0.000E+00
  147 0.000E+00 0.153E-03 0.974E-04 0.194E-05 0.974E-04 0.281E+00 0.000E+00
  148 0.000E+00 0.138E-03 0.971E-04 0.181E-05 0.971E-04 0.281E+00 0.000E+00
  149 0.000E+00 0.113E-03 0.968E-04 0.169E-05 0.968E-04 0.281E+00 0.000E+00
  150 0.000E+00 0.799E-04 0.965E-04 0.158E-05 0.965E-04 0.281E+00 0.000E+00
  151 0.000E+00 0.387E-04 0.962E-04 0.147E-05 0.962E-04 0.281E+00 0.000E+00
  152 0.000E+00 0.000E+00 0.960E-04 0.137E-05 0.960E-04 0.282E+00 0.000E+00
  153 0.000E+00 0.000E+00 0.957E-04 0.128E-05 0.957E-04 0.282E+00 0.000E+00
  154 0.000E+00 0.000E+00 0.954E-04 0.119E-05 0.954E-04 0.282E+00 0.000E+00
  155 0.000E+00 0.000E+00 0.951E-04 0.111E-05 0.951E-04 0.282E+00 0.000E+00
  156 0.000E+00 0.000E+00 0.948E-04 0.104E-05 0.948E-04 0.282E+00 0.000E+00
  157 0.000E+00 0.000E+00 0.945E-04 0.969E-06 0.945E-04 0.282E+00 0.000E+00
  158 0.000E+00 0.000E+00 0.943E-04 0.904E-06 0.943E-04 0.282E+00 0.000E+00
  159 0.000E+00 0.000E+00 0.940E-04 0.844E-06 0.940E-04 0.282E+00 0.000E+00
  160 0.000E+00 0.000E+00 0.937E-04 0.788E-06 0.937E-04 0.282E+00 0.000E+00
  161 0.000E+00 0.000E+00 0.935E-04 0.735E-06 0.935E-04 0.282E+00 0.000E+00
  162 0.000E+00 0.000E+00 0.932E-04 0.686E-06 0.932E-04 0.283E+00 0.000E+00
  163 0.000E+00 0.000E+00 0.929E-04 0.640E-06 0.929E-04 0.283E+00 0.000E+00
