;-----------------------------------------
;Rainfall input file for TopModel
;First line has n_steps and dt [hours]
;Other lines have Rainfall, ET, and Q_obs
;8 years of daily data.  Units are [m/h].
;-----------------------------------------
2921	24
2.43E-04	2.32E-03	7.89E-03
5.80E-03	3.51E-03	6.38E-03
4.57E-02	2.28E-03	2.52E-02
1.91E-02	2.33E-03	1.23E-02
5.00E-04	3.18E-03	7.81E-03
8.00E-04	3.40E-03	5.68E-03
6.89E-03	2.13E-03	5.09E-03
2.41E-04	2.63E-03	3.89E-03
3.43E-02	2.90E-03	1.55E-02
3.00E-04	3.63E-03	4.67E-03
0	3.11E-03	3.64E-03
0	2.86E-03	3.03E-03
6.00E-04	1.26E-03	2.70E-03
3.00E-04	1.26E-03	2.44E-03
1.48E-03	1.26E-03	2.27E-03
8.96E-03	2.37E-03	2.42E-03
3.59E-02	3.25E-03	8.05E-03
1.03E-02	1.92E-03	5.48E-03
5.50E-03	3.36E-03	3.96E-03
0	4.35E-03	2.89E-03
1.40E-03	3.87E-03	2.38E-03
0	3.24E-03	2.05E-03
1.22E-02	3.81E-03	3.11E-03
2.26E-02	2.35E-03	5.48E-03
0	3.12E-03	2.55E-03
3.33E-02	1.72E-03	1.27E-02
1.25E-03	3.09E-03	4.76E-03
0	3.60E-03	3.41E-03
1.53E-02	2.05E-03	4.46E-03
2.40E-03	1.62E-03	3.16E-03
9.30E-03	1.29E-03	3.01E-03
1.80E-02	2.01E-03	5.51E-03
2.97E-02	1.61E-03	9.03E-03
1.51E-03	2.08E-03	7.57E-03
0	2.29E-03	5.03E-03
1.80E-03	3.58E-03	3.86E-03
8.00E-02	1.26E-03	3.25E-02
5.86E-04	3.60E-03	1.14E-02
2.67E-03	3.74E-03	6.93E-03
0	3.62E-03	5.24E-03
6.00E-04	3.09E-03	4.29E-03
2.80E-03	3.04E-03	3.29E-03
0	0	2.77E-03
0	4.05E-03	2.37E-03
0	3.34E-03	2.06E-03
0	3.27E-03	1.78E-03
0	3.07E-03	1.62E-03
0	4.01E-03	1.41E-03
0	4.27E-03	1.24E-03
0	3.94E-03	1.14E-03
0	4.41E-03	1.04E-03
0	3.94E-03	9.57E-04
0	4.46E-03	9.01E-04
0	3.34E-03	8.31E-04
4.00E-04	3.24E-03	7.11E-04
0	3.26E-03	7.12E-04
5.20E-03	3.77E-03	7.29E-04
0	3.78E-03	6.69E-04
0	4.51E-03	5.80E-04
2.90E-03	3.50E-03	6.01E-04
0	3.69E-03	5.37E-04
0	3.53E-03	5.19E-04
0	3.55E-03	4.57E-04
0	3.61E-03	4.16E-04
0	3.23E-03	3.93E-04
0	3.43E-03	3.75E-04
0	3.47E-03	3.64E-04
3.00E-04	3.31E-03	3.51E-04
8.00E-04	3.71E-03	3.20E-04
0	3.57E-03	3.10E-04
2.78E-03	3.51E-03	3.26E-04
1.69E-03	3.76E-03	3.28E-04
1.33E-03	3.49E-03	3.04E-04
0	3.42E-03	2.76E-04
0	3.21E-03	2.66E-04
3.00E-04	3.50E-03	2.43E-04
0	3.97E-03	2.25E-04
1.00E-04	3.70E-03	2.16E-04
0	3.76E-03	2.05E-04
5.00E-04	3.76E-03	2.03E-04
0	3.99E-03	2.02E-04
0	3.84E-03	1.86E-04
0	3.81E-03	1.75E-04
0	3.66E-03	1.64E-04
0	4.25E-03	1.54E-04
0	4.40E-03	1.44E-04
0	2.55E-03	1.28E-04
0	4.23E-03	1.09E-04
0	3.08E-03	9.93E-05
0	3.83E-03	9.45E-05
0	4.49E-03	8.69E-05
0	4.52E-03	8.05E-05
0	4.42E-03	8.87E-05
5.00E-04	4.65E-03	9.52E-05
8.00E-04	3.54E-03	9.20E-05
3.00E-04	3.64E-03	8.54E-05
0	4.52E-03	8.85E-05
0	4.37E-03	1.04E-04
0	4.76E-03	9.77E-05
0	4.48E-03	9.92E-05
0	4.01E-03	9.97E-05
0	3.43E-03	1.00E-04
1.03E-02	5.62E-04	1.13E-04
1.64E-03	3.78E-03	9.97E-05
0	4.24E-03	8.92E-05
0	4.92E-03	7.22E-05
1.05E-02	3.38E-03	1.04E-04
3.00E-04	1.97E-03	8.89E-05
0	4.36E-03	7.94E-05
3.60E-03	4.59E-03	8.41E-05
9.99E-04	4.48E-03	6.45E-05
0	4.61E-03	5.57E-05
1.00E-03	3.45E-03	7.66E-05
0	2.44E-03	7.51E-05
0	4.08E-03	5.85E-05
1.00E-04	4.20E-03	5.18E-05
1.00E-04	3.30E-03	5.04E-05
1.00E-04	3.08E-03	4.41E-05
0	4.00E-03	4.01E-05
0	4.90E-03	3.88E-05
0	4.20E-03	3.71E-05
0.106189	2.69E-04	2.42E-03
6.46E-02	4.33E-03	2.68E-03
8.10E-04	4.63E-03	7.45E-04
0	4.61E-03	2.55E-04
3.00E-04	4.45E-03	1.67E-04
0	4.15E-03	1.51E-04
0	4.36E-03	1.39E-04
0	3.73E-03	1.11E-04
4.00E-04	4.09E-03	1.01E-04
0	2.84E-03	9.50E-05
0	4.16E-03	9.23E-05
1.40E-03	4.07E-03	1.01E-04
0	5.24E-03	8.71E-05
0	3.63E-03	8.43E-05
0	5.15E-03	7.72E-05
0	4.56E-03	5.98E-05
0	4.78E-03	5.19E-05
0	4.67E-03	4.80E-05
0	4.28E-03	5.11E-05
0	4.78E-03	4.91E-05
0	5.08E-03	4.50E-05
0	5.01E-03	4.80E-05
0	4.62E-03	3.76E-05
0	4.85E-03	3.20E-05
0	5.13E-03	3.38E-05
0	5.27E-03	3.67E-05
0	5.39E-03	3.85E-05
0	5.29E-03	3.36E-05
0	4.38E-03	3.20E-05
0	5.08E-03	2.29E-05
0	5.26E-03	2.13E-05
0	5.36E-03	2.26E-05
1.30E-03	2.80E-03	3.01E-05
0	3.76E-03	4.89E-05
0	4.23E-03	4.69E-05
1.00E-03	4.71E-03	3.95E-05
0	4.23E-03	3.14E-05
7.60E-03	2.71E-03	5.50E-05
0	4.99E-03	4.80E-05
1.90E-03	4.28E-03	3.53E-05
5.00E-04	2.94E-03	2.44E-05
0	5.15E-03	3.29E-05
0	4.85E-03	2.97E-05
0	4.75E-03	2.19E-05
0	5.26E-03	1.57E-05
0	3.73E-03	1.09E-05
0	4.88E-03	9.69E-06
0	5.30E-03	9.02E-06
0	5.33E-03	7.90E-06
4.00E-04	2.85E-03	7.19E-06
5.31E-03	3.58E-03	1.52E-05
0	4.46E-03	2.88E-05
5.00E-04	3.97E-03	1.90E-05
0	4.40E-03	1.21E-05
0	5.11E-03	5.62E-06
0	5.07E-03	2.16E-06
3.00E-04	3.38E-03	4.40E-07
3.33E-03	3.10E-03	1.53E-08
6.09E-03	2.67E-03	4.22E-05
1.36E-03	2.86E-03	2.33E-05
4.56E-02	1.94E-03	2.39E-04
8.78E-02	1.33E-03	1.91E-03
7.72E-02	2.06E-03	8.37E-03
4.46E-04	3.27E-03	5.91E-04
0	3.26E-03	1.79E-04
0	3.36E-03	1.20E-04
0	3.80E-03	8.99E-05
5.00E-04	3.04E-03	8.05E-05
4.29E-03	1.95E-03	1.13E-04
1.13E-02	2.48E-03	1.14E-04
1.34E-03	3.33E-03	9.05E-05
2.00E-03	3.42E-03	1.18E-04
9.17E-03	3.92E-03	1.27E-04
5.73E-02	2.34E-03	3.91E-03
1.40E-03	2.88E-03	7.16E-04
6.50E-03	2.96E-03	4.06E-04
2.71E-04	3.16E-03	3.29E-04
1.30E-03	3.74E-03	2.28E-04
3.00E-04	4.56E-03	1.78E-04
0	4.26E-03	1.45E-04
1.27E-02	4.22E-03	1.73E-04
2.83E-04	3.51E-03	1.81E-04
0	4.03E-03	1.71E-04
5.80E-03	2.63E-03	2.07E-04
0	4.92E-03	2.19E-04
1.80E-03	2.98E-03	1.61E-04
2.95E-04	2.64E-03	1.31E-04
5.80E-03	2.63E-03	1.61E-04
3.00E-04	3.51E-03	1.02E-04
0	4.81E-03	8.90E-05
3.24E-02	2.84E-03	2.06E-04
1.21E-02	1.91E-03	3.96E-04
2.75E-04	3.31E-03	3.95E-04
3.00E-04	3.71E-03	2.83E-04
5.00E-04	3.40E-03	2.20E-04
0	3.77E-03	1.79E-04
0	4.64E-03	1.49E-04
3.90E-03	4.19E-03	1.88E-04
3.60E-03	4.11E-03	1.47E-04
3.00E-04	3.82E-03	1.15E-04
0	3.94E-03	1.27E-04
2.67E-03	2.44E-03	1.01E-04
9.33E-03	9.08E-04	1.83E-04
0	3.80E-03	2.14E-04
5.21E-02	3.26E-03	1.16E-03
2.16E-02	1.69E-03	1.97E-03
0	4.25E-03	9.06E-04
5.00E-04	2.99E-03	4.88E-04
3.00E-04	2.59E-03	3.62E-04
2.09E-02	3.07E-03	4.49E-04
8.56E-03	1.47E-03	6.95E-04
6.10E-03	1.80E-03	7.46E-04
2.46E-02	2.85E-03	1.65E-03
1.50E-03	1.65E-03	1.23E-03
1.30E-03	2.88E-03	7.53E-04
1.00E-04	1.58E-03	5.80E-04
0	4.34E-03	4.66E-04
1.09E-02	1.94E-03	4.90E-04
1.40E-02	1.08E-03	7.90E-04
0	3.75E-03	7.53E-04
0	4.06E-03	5.29E-04
3.00E-04	3.52E-03	4.38E-04
1.64E-02	2.30E-03	6.38E-04
2.98E-04	1.75E-03	6.26E-04
1.61E-02	2.64E-03	7.09E-04
6.02E-02	1.74E-03	1.56E-02
6.33E-03	2.51E-03	3.29E-03
1.28E-03	2.21E-03	1.86E-03
3.63E-02	2.11E-03	6.85E-03
1.59E-03	2.45E-03	3.24E-03
5.60E-03	2.83E-03	1.98E-03
0	4.23E-03	1.35E-03
0	3.98E-03	9.85E-04
2.31E-02	3.67E-03	2.20E-03
1.70E-03	3.45E-03	1.40E-03
4.70E-03	2.46E-03	1.04E-03
1.30E-03	4.23E-03	8.88E-04
2.20E-03	4.04E-03	7.02E-04
4.64E-03	4.59E-03	6.21E-04
2.73E-02	2.80E-03	3.36E-03
4.10E-03	3.05E-03	1.33E-03
0	4.25E-03	1.01E-03
0	3.92E-03	7.98E-04
1.24E-02	3.16E-03	9.55E-04
6.38E-03	3.83E-03	7.68E-04
2.88E-04	3.85E-03	7.42E-04
1.21E-02	3.93E-03	8.40E-04
5.40E-03	3.57E-03	7.30E-04
4.06E-02	1.50E-03	3.28E-03
2.89E-03	1.21E-03	2.68E-03
3.69E-03	1.91E-03	1.60E-03
0	3.80E-03	1.33E-03
5.57E-02	9.05E-04	1.57E-02
0	2.68E-03	7.07E-03
8.00E-04	2.41E-03	2.74E-03
1.13E-02	2.05E-03	2.40E-03
7.77E-03	2.19E-03	2.00E-03
1.06E-02	1.33E-03	2.28E-03
4.81E-02	1.43E-03	1.87E-02
5.00E-04	4.21E-03	5.18E-03
0	4.51E-03	2.86E-03
5.00E-04	2.87E-03	1.99E-03
7.94E-03	4.16E-03	1.59E-03
1.17E-02	3.75E-03	2.14E-03
1.43E-03	3.85E-03	1.29E-03
9.00E-04	3.74E-03	1.04E-03
3.99E-02	1.57E-03	1.15E-02
3.42E-03	4.39E-03	3.80E-03
5.00E-04	2.53E-03	2.27E-03
3.59E-03	4.39E-03	1.64E-03
8.27E-03	2.84E-03	1.88E-03
7.99E-03	4.37E-03	1.42E-03
1.72E-03	2.57E-03	1.27E-03
0	3.92E-03	1.09E-03
8.00E-04	3.76E-03	9.75E-04
0	4.74E-03	8.29E-04
3.81E-03	3.09E-03	8.43E-04
1.45E-03	1.85E-03	8.11E-04
1.45E-02	1.88E-03	1.44E-03
1.08E-03	3.84E-03	1.22E-03
1.54E-02	2.35E-03	2.09E-03
0	4.09E-03	1.05E-03
8.00E-04	4.51E-03	8.35E-04
1.32E-02	2.57E-03	8.69E-04
1.30E-03	1.23E-03	8.78E-04
7.13E-03	4.12E-03	8.11E-04
1.23E-02	1.36E-03	1.10E-03
0	3.67E-03	1.14E-03
2.04E-02	4.33E-03	1.49E-03
3.80E-03	3.05E-03	1.60E-03
4.21E-03	2.74E-03	1.33E-03
4.19E-03	3.61E-03	1.27E-03
1.20E-03	4.73E-03	1.00E-03
0	4.20E-03	8.69E-04
2.92E-03	3.58E-03	8.03E-04
0.11873	1.73E-03	4.64E-02
1.98E-02	2.76E-03	1.16E-02
1.60E-02	2.06E-03	9.08E-03
1.64E-02	2.62E-03	1.04E-02
2.98E-04	4.47E-03	6.09E-03
6.00E-04	2.94E-03	3.89E-03
0	3.69E-03	2.94E-03
6.00E-04	3.42E-03	2.37E-03
3.10E-02	4.49E-03	5.44E-03
2.76E-04	3.76E-03	3.69E-03
7.12E-03	2.16E-03	3.22E-03
0	3.85E-03	2.13E-03
1.68E-02	2.85E-03	3.62E-03
2.43E-02	7.10E-04	6.80E-03
