Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: cat-1139

TL =    10.05
SUMAC =     1.00
SZQ =       0.00639
Subcatchment routing data:
Maximum Routing Delay       0.69444
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.17073
Initial SBAR             0.16873
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
189 0.0000e+00 4.5600e-05 8.3138e-05 1.6909e-10 8.3138e-05 1.3905e-01 0.0000e+00
190 5.0000e-04 8.7900e-05 8.2923e-05 1.5563e-10 8.2923e-05 1.3913e-01 0.0000e+00
191 0.0000e+00 1.2440e-04 8.2708e-05 1.4325e-10 8.2708e-05 1.3922e-01 0.0000e+00
192 0.0000e+00 1.5230e-04 8.2495e-05 1.3186e-10 8.2495e-05 1.3930e-01 0.0000e+00
193 0.0000e+00 1.6850e-04 8.2282e-05 1.2138e-10 8.2282e-05 1.3938e-01 0.0000e+00
194 0.0000e+00 1.7590e-04 8.2071e-05 1.1174e-10 8.2071e-05 1.3946e-01 0.0000e+00
195 0.0000e+00 1.6850e-04 8.1861e-05 1.0287e-10 8.1861e-05 1.3954e-01 0.0000e+00
196 0.0000e+00 1.5230e-04 8.1652e-05 9.4699e-11 8.1652e-05 1.3963e-01 0.0000e+00
197 0.0000e+00 1.2440e-04 8.1443e-05 8.7185e-11 8.1443e-05 1.3971e-01 0.0000e+00
198 0.0000e+00 8.7900e-05 8.1236e-05 1.7743e-11 8.1236e-05 1.3979e-01 0.0000e+00
199 0.0000e+00 4.2600e-05 8.1030e-05 1.6414e-11 8.1030e-05 1.3987e-01 0.0000e+00
200 0.0000e+00 0.0000e+00 8.0826e-05 1.5184e-11 8.0826e-05 1.3995e-01 0.0000e+00
201 0.0000e+00 0.0000e+00 8.0622e-05 1.4047e-11 8.0622e-05 1.4003e-01 0.0000e+00
202 0.0000e+00 0.0000e+00 8.0419e-05 1.2995e-11 8.0419e-05 1.4011e-01 0.0000e+00
203 0.0000e+00 0.0000e+00 8.0217e-05 1.2023e-11 8.0217e-05 1.4019e-01 0.0000e+00
204 0.0000e+00 0.0000e+00 8.0016e-05 1.1123e-11 8.0016e-05 1.4027e-01 0.0000e+00
205 0.0000e+00 0.0000e+00 7.9816e-05 1.0291e-11 7.9816e-05 1.4035e-01 0.0000e+00
206 0.0000e+00 0.0000e+00 7.9617e-05 9.5218e-12 7.9617e-05 1.4043e-01 0.0000e+00
207 0.0000e+00 0.0000e+00 7.9420e-05 8.8101e-12 7.9420e-05 1.4051e-01 0.0000e+00
208 0.0000e+00 0.0000e+00 7.9223e-05 8.1517e-12 7.9223e-05 1.4059e-01 0.0000e+00
209 0.0000e+00 0.0000e+00 7.9027e-05 7.5428e-12 7.9027e-05 1.4067e-01 0.0000e+00
210 0.0000e+00 0.0000e+00 7.8832e-05 0.0000e+00 7.8832e-05 1.4075e-01 0.0000e+00
211 0.0000e+00 0.0000e+00 7.8638e-05 0.0000e+00 7.8638e-05 1.4083e-01 0.0000e+00
212 0.0000e+00 0.0000e+00 7.8445e-05 0.0000e+00 7.8445e-05 1.4090e-01 0.0000e+00
213 0.0000e+00 4.9000e-05 7.8253e-05 0.0000e+00 7.8253e-05 1.4098e-01 0.0000e+00
214 0.0000e+00 9.4600e-05 7.8062e-05 0.0000e+00 7.8062e-05 1.4106e-01 0.0000e+00
215 0.0000e+00 1.3380e-04 7.7872e-05 0.0000e+00 7.7872e-05 1.4114e-01 0.0000e+00
216 0.0000e+00 1.6380e-04 7.7682e-05 0.0000e+00 7.7682e-05 1.4122e-01 0.0000e+00
217 0.0000e+00 1.8130e-04 7.7494e-05 0.0000e+00 7.7494e-05 1.4129e-01 0.0000e+00
218 0.0000e+00 1.8920e-04 7.7307e-05 0.0000e+00 7.7307e-05 1.4137e-01 0.0000e+00
219 0.0000e+00 1.8130e-04 7.7120e-05 0.0000e+00 7.7120e-05 1.4145e-01 0.0000e+00
220 0.0000e+00 1.6380e-04 7.6934e-05 0.0000e+00 7.6934e-05 1.4153e-01 0.0000e+00
221 0.0000e+00 1.3380e-04 7.6750e-05 0.0000e+00 7.6750e-05 1.4160e-01 0.0000e+00
222 0.0000e+00 9.4600e-05 7.6566e-05 0.0000e+00 7.6566e-05 1.4168e-01 0.0000e+00
223 0.0000e+00 4.5800e-05 7.6383e-05 0.0000e+00 7.6383e-05 1.4176e-01 0.0000e+00
224 0.0000e+00 0.0000e+00 7.6201e-05 0.0000e+00 7.6201e-05 1.4183e-01 0.0000e+00
225 0.0000e+00 0.0000e+00 7.6019e-05 0.0000e+00 7.6019e-05 1.4191e-01 0.0000e+00
226 0.0000e+00 0.0000e+00 7.5839e-05 0.0000e+00 7.5839e-05 1.4198e-01 0.0000e+00
227 0.0000e+00 0.0000e+00 7.5660e-05 0.0000e+00 7.5660e-05 1.4206e-01 0.0000e+00
228 0.0000e+00 0.0000e+00 7.5481e-05 0.0000e+00 7.5481e-05 1.4213e-01 0.0000e+00
229 0.0000e+00 0.0000e+00 7.5303e-05 0.0000e+00 7.5303e-05 1.4221e-01 0.0000e+00
230 0.0000e+00 0.0000e+00 7.5126e-05 0.0000e+00 7.5126e-05 1.4228e-01 0.0000e+00
231 0.0000e+00 0.0000e+00 7.4950e-05 0.0000e+00 7.4950e-05 1.4236e-01 0.0000e+00
