Taegu Pyungkwang River Catchment: Calibration Data

Subcatchment : Extracted study basin: 1500

TL =     8.96
SUMAC =     1.00
SZQ =       0.01911
Subcatchment routing data:
Maximum Routing Delay       0.37679
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial BAL             -0.20576
Initial SBAR             0.20376
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
110 0.0000e+00 0.0000e+00 1.0314e-04 5.5754e-06 1.0314e-04 1.6720e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0282e-04 5.0733e-06 1.0282e-04 1.6729e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0251e-04 4.6177e-06 1.0251e-04 1.6739e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 1.0220e-04 4.2034e-06 1.0220e-04 1.6749e-01 0.0000e+00
114 0.0000e+00 0.0000e+00 1.0188e-04 3.8282e-06 1.0188e-04 1.6759e-01 0.0000e+00
115 0.0000e+00 0.0000e+00 1.0157e-04 3.4875e-06 1.0157e-04 1.6769e-01 0.0000e+00
116 0.0000e+00 0.0000e+00 1.0126e-04 3.1780e-06 1.0126e-04 1.6778e-01 0.0000e+00
117 0.0000e+00 1.0200e-05 1.0095e-04 2.8967e-06 1.0095e-04 1.6788e-01 0.0000e+00
118 0.0000e+00 1.9800e-05 1.0064e-04 2.6409e-06 1.0064e-04 1.6798e-01 0.0000e+00
119 0.0000e+00 2.8000e-05 1.0033e-04 2.4084e-06 1.0033e-04 1.6808e-01 0.0000e+00
120 0.0000e+00 3.4200e-05 1.0003e-04 2.1969e-06 1.0003e-04 1.6818e-01 0.0000e+00
121 0.0000e+00 3.7900e-05 9.9722e-05 2.0045e-06 9.9722e-05 1.6827e-01 0.0000e+00
122 0.0000e+00 3.9500e-05 9.9418e-05 1.8294e-06 9.9418e-05 1.6837e-01 0.0000e+00
123 0.0000e+00 3.7900e-05 9.9115e-05 1.6700e-06 9.9115e-05 1.6847e-01 0.0000e+00
124 0.0000e+00 3.4200e-05 9.8814e-05 1.5248e-06 9.8814e-05 1.6857e-01 0.0000e+00
125 0.0000e+00 2.8000e-05 9.8514e-05 1.3926e-06 9.8514e-05 1.6866e-01 0.0000e+00
126 0.0000e+00 1.9800e-05 9.8216e-05 1.2709e-06 9.8216e-05 1.6876e-01 0.0000e+00
127 0.0000e+00 9.6000e-06 9.7918e-05 1.1613e-06 9.7918e-05 1.6886e-01 0.0000e+00
128 0.0000e+00 0.0000e+00 9.7623e-05 1.0614e-06 9.7623e-05 1.6895e-01 0.0000e+00
129 0.0000e+00 0.0000e+00 9.7329e-05 9.7029e-07 9.7329e-05 1.6905e-01 0.0000e+00
130 0.0000e+00 0.0000e+00 9.7036e-05 8.8720e-07 9.7036e-05 1.6915e-01 0.0000e+00
131 0.0000e+00 0.0000e+00 9.6745e-05 8.1139e-07 9.6745e-05 1.6924e-01 0.0000e+00
132 0.0000e+00 0.0000e+00 9.6455e-05 7.4222e-07 9.6455e-05 1.6934e-01 0.0000e+00
133 0.0000e+00 0.0000e+00 9.6167e-05 6.7908e-07 9.6167e-05 1.6943e-01 0.0000e+00
134 0.0000e+00 0.0000e+00 9.5881e-05 6.2143e-07 9.5881e-05 1.6953e-01 0.0000e+00
135 0.0000e+00 0.0000e+00 9.5596e-05 5.6880e-07 9.5596e-05 1.6962e-01 0.0000e+00
136 0.0000e+00 0.0000e+00 9.5312e-05 5.2072e-07 9.5312e-05 1.6972e-01 0.0000e+00
137 0.0000e+00 0.0000e+00 9.5030e-05 4.7680e-07 9.5030e-05 1.6981e-01 0.0000e+00
138 0.0000e+00 0.0000e+00 9.4750e-05 4.3667e-07 9.4750e-05 1.6991e-01 0.0000e+00
139 0.0000e+00 0.0000e+00 9.4471e-05 3.9999e-07 9.4471e-05 1.7000e-01 0.0000e+00
140 0.0000e+00 0.0000e+00 9.4194e-05 3.6503e-07 9.4194e-05 1.7010e-01 0.0000e+00
141 5.0000e-04 4.1400e-05 9.3918e-05 3.3456e-07 9.3918e-05 1.7019e-01 0.0000e+00
142 0.0000e+00 7.9900e-05 9.3644e-05 3.0668e-07 9.3644e-05 1.7028e-01 0.0000e+00
143 0.0000e+00 1.1300e-04 9.3371e-05 2.8118e-07 9.3371e-05 1.7038e-01 0.0000e+00
144 0.0000e+00 1.3840e-04 9.3100e-05 2.5784e-07 9.3100e-05 1.7047e-01 0.0000e+00
145 0.0000e+00 1.5310e-04 9.2830e-05 2.3648e-07 9.2830e-05 1.7056e-01 0.0000e+00
146 0.0000e+00 1.5990e-04 9.2562e-05 2.1692e-07 9.2562e-05 1.7065e-01 0.0000e+00
147 0.0000e+00 1.5310e-04 9.2295e-05 1.9901e-07 9.2295e-05 1.7075e-01 0.0000e+00
148 0.0000e+00 1.3840e-04 9.2030e-05 1.8261e-07 9.2030e-05 1.7084e-01 0.0000e+00
149 0.0000e+00 1.1300e-04 9.1766e-05 1.6759e-07 9.1766e-05 1.7093e-01 0.0000e+00
150 0.0000e+00 7.9900e-05 9.1504e-05 1.5383e-07 9.1504e-05 1.7102e-01 0.0000e+00
151 0.0000e+00 3.8700e-05 9.1243e-05 1.4122e-07 9.1243e-05 1.7111e-01 0.0000e+00
152 0.0000e+00 0.0000e+00 9.0984e-05 1.2966e-07 9.0984e-05 1.7120e-01 0.0000e+00
153 0.0000e+00 0.0000e+00 9.0726e-05 1.1907e-07 9.0726e-05 1.7129e-01 0.0000e+00
154 0.0000e+00 0.0000e+00 9.0469e-05 1.0777e-07 9.0469e-05 1.7138e-01 0.0000e+00
155 0.0000e+00 0.0000e+00 9.0214e-05 9.9052e-08 9.0214e-05 1.7147e-01 0.0000e+00
156 0.0000e+00 0.0000e+00 8.9960e-05 9.1048e-08 8.9960e-05 1.7156e-01 0.0000e+00
157 0.0000e+00 0.0000e+00 8.9708e-05 8.3701e-08 8.9708e-05 1.7165e-01 0.0000e+00
158 0.0000e+00 0.0000e+00 8.9457e-05 7.6958e-08 8.9457e-05 1.7174e-01 0.0000e+00
159 0.0000e+00 0.0000e+00 8.9208e-05 7.0766e-08 8.9208e-05 1.7183e-01 0.0000e+00
160 0.0000e+00 0.0000e+00 8.8959e-05 6.5081e-08 8.8959e-05 1.7192e-01 0.0000e+00
161 0.0000e+00 0.0000e+00 8.8713e-05 5.9860e-08 8.8713e-05 1.7201e-01 0.0000e+00
162 0.0000e+00 0.0000e+00 8.8467e-05 5.5065e-08 8.8467e-05 1.7210e-01 0.0000e+00
163 0.0000e+00 0.0000e+00 8.8223e-05 5.0660e-08 8.8223e-05 1.7219e-01 0.0000e+00
164 0.0000e+00 0.0000e+00 8.7980e-05 4.6614e-08 8.7980e-05 1.7227e-01 0.0000e+00
165 0.0000e+00 1.7800e-05 8.7739e-05 4.2896e-08 8.7739e-05 1.7236e-01 0.0000e+00
166 0.0000e+00 3.4400e-05 8.7499e-05 3.9479e-08 8.7499e-05 1.7245e-01 0.0000e+00
167 0.0000e+00 4.8600e-05 8.7260e-05 3.6339e-08 8.7260e-05 1.7254e-01 0.0000e+00
168 0.0000e+00 5.9500e-05 8.7022e-05 3.1807e-08 8.7022e-05 1.7262e-01 0.0000e+00
169 0.0000e+00 6.5900e-05 8.6786e-05 2.9320e-08 8.6786e-05 1.7271e-01 0.0000e+00
170 0.0000e+00 6.8800e-05 8.6551e-05 2.7029e-08 8.6551e-05 1.7280e-01 0.0000e+00
171 0.0000e+00 6.5900e-05 8.6318e-05 2.4920e-08 8.6318e-05 1.7288e-01 0.0000e+00
172 0.0000e+00 5.9500e-05 8.6085e-05 2.2977e-08 8.6085e-05 1.7297e-01 0.0000e+00
173 0.0000e+00 4.8600e-05 8.5854e-05 2.1188e-08 8.5854e-05 1.7305e-01 0.0000e+00
174 0.0000e+00 3.4400e-05 8.5624e-05 1.9540e-08 8.5624e-05 1.7314e-01 0.0000e+00
175 0.0000e+00 1.6600e-05 8.5395e-05 1.8021e-08 8.5395e-05 1.7323e-01 0.0000e+00
176 0.0000e+00 0.0000e+00 8.5168e-05 1.6623e-08 8.5168e-05 1.7331e-01 0.0000e+00
177 0.0000e+00 0.0000e+00 8.4941e-05 1.5334e-08 8.4941e-05 1.7340e-01 0.0000e+00
178 0.0000e+00 0.0000e+00 8.4716e-05 1.4146e-08 8.4716e-05 1.7348e-01 0.0000e+00
179 0.0000e+00 0.0000e+00 8.4492e-05 1.3051e-08 8.4492e-05 1.7356e-01 0.0000e+00
180 0.0000e+00 0.0000e+00 8.4269e-05 1.2043e-08 8.4269e-05 1.7365e-01 0.0000e+00
181 0.0000e+00 0.0000e+00 8.4048e-05 1.1113e-08 8.4048e-05 1.7373e-01 0.0000e+00
182 0.0000e+00 0.0000e+00 8.3827e-05 8.9359e-09 8.3827e-05 1.7382e-01 0.0000e+00
183 0.0000e+00 0.0000e+00 8.3608e-05 8.2647e-09 8.3608e-05 1.7390e-01 0.0000e+00
184 0.0000e+00 0.0000e+00 8.3390e-05 7.6443e-09 8.3390e-05 1.7398e-01 0.0000e+00
185 0.0000e+00 0.0000e+00 8.3173e-05 7.0710e-09 8.3173e-05 1.7407e-01 0.0000e+00
186 0.0000e+00 0.0000e+00 8.2957e-05 6.5411e-09 8.2957e-05 1.7415e-01 0.0000e+00
187 0.0000e+00 0.0000e+00 8.2742e-05 6.0512e-09 8.2742e-05 1.7423e-01 0.0000e+00
188 0.0000e+00 0.0000e+00 8.2529e-05 5.5983e-09 8.2529e-05 1.7431e-01 0.0000e+00
189 0.0000e+00 4.5600e-05 8.2316e-05 5.1797e-09 8.2316e-05 1.7440e-01 0.0000e+00
