Taegu Pyungkwang River Catchment: Calibration Data

Starting Subcatchment 1
Subcatchment : Extracted study basin: Taegu Pyungkwang River

TL =     5.45
SUMAC =     1.00
SZQ =       0.63446
Subcatchment routing data:
Maximum Routing Delay       0.41667
Sum of Histogram ordinates:     1.0000
     1.00000 
Initial Balance BAL     -0.31784
Initial SBAR             0.31584
Initial SR0              0.00200
it      p        ep       q(it)       quz      q       sbar       qof
84 0.0000e+00 0.0000e+00 1.1070e-04 1.8629e-04 1.1070e-04 2.7684e-01 0.0000e+00
85 0.0000e+00 0.0000e+00 1.1096e-04 1.7296e-04 1.1096e-04 2.7678e-01 0.0000e+00
86 0.0000e+00 0.0000e+00 1.1118e-04 1.6058e-04 1.1118e-04 2.7673e-01 0.0000e+00
87 0.0000e+00 0.0000e+00 1.1135e-04 1.4909e-04 1.1135e-04 2.7669e-01 0.0000e+00
88 0.0000e+00 0.0000e+00 1.1148e-04 1.3842e-04 1.1148e-04 2.7667e-01 0.0000e+00
89 0.0000e+00 0.0000e+00 1.1158e-04 1.2852e-04 1.1158e-04 2.7665e-01 0.0000e+00
90 0.0000e+00 0.0000e+00 1.1163e-04 1.1933e-04 1.1163e-04 2.7664e-01 0.0000e+00
91 0.0000e+00 0.0000e+00 1.1166e-04 1.1080e-04 1.1166e-04 2.7664e-01 0.0000e+00
92 0.0000e+00 0.0000e+00 1.1166e-04 1.0288e-04 1.1166e-04 2.7665e-01 0.0000e+00
93 0.0000e+00 1.9100e-05 1.1163e-04 9.5537e-05 1.1163e-04 2.7667e-01 0.0000e+00
94 0.0000e+00 3.6800e-05 1.1157e-04 8.8719e-05 1.1157e-04 2.7669e-01 0.0000e+00
95 0.0000e+00 5.2100e-05 1.1149e-04 8.2390e-05 1.1149e-04 2.7672e-01 0.0000e+00
96 0.0000e+00 6.3800e-05 1.1139e-04 7.6517e-05 1.1139e-04 2.7675e-01 0.0000e+00
97 5.0000e-04 7.0600e-05 1.1127e-04 7.1067e-05 1.1127e-04 2.7679e-01 0.0000e+00
98 5.0000e-04 7.3700e-05 1.1113e-04 6.6008e-05 1.1113e-04 2.7684e-01 0.0000e+00
99 0.0000e+00 7.0600e-05 1.1097e-04 6.1313e-05 1.1097e-04 2.7689e-01 0.0000e+00
100 0.0000e+00 6.3800e-05 1.1080e-04 5.6955e-05 1.1080e-04 2.7694e-01 0.0000e+00
101 0.0000e+00 5.2100e-05 1.1061e-04 5.2911e-05 1.1061e-04 2.7700e-01 0.0000e+00
102 0.0000e+00 3.6800e-05 1.1042e-04 4.9157e-05 1.1042e-04 2.7706e-01 0.0000e+00
103 0.0000e+00 1.7800e-05 1.1020e-04 4.5673e-05 1.1020e-04 2.7713e-01 0.0000e+00
104 0.0000e+00 0.0000e+00 1.0998e-04 4.2438e-05 1.0998e-04 2.7719e-01 0.0000e+00
105 0.0000e+00 0.0000e+00 1.0975e-04 3.9435e-05 1.0975e-04 2.7726e-01 0.0000e+00
106 0.0000e+00 0.0000e+00 1.0951e-04 3.6648e-05 1.0951e-04 2.7734e-01 0.0000e+00
107 0.0000e+00 0.0000e+00 1.0926e-04 3.4060e-05 1.0926e-04 2.7741e-01 0.0000e+00
108 0.0000e+00 0.0000e+00 1.0900e-04 3.1657e-05 1.0900e-04 2.7749e-01 0.0000e+00
109 0.0000e+00 0.0000e+00 1.0874e-04 2.9426e-05 1.0874e-04 2.7757e-01 0.0000e+00
110 0.0000e+00 0.0000e+00 1.0847e-04 2.7354e-05 1.0847e-04 2.7765e-01 0.0000e+00
111 5.0000e-04 0.0000e+00 1.0820e-04 2.5430e-05 1.0820e-04 2.7773e-01 0.0000e+00
112 0.0000e+00 0.0000e+00 1.0792e-04 2.3643e-05 1.0792e-04 2.7782e-01 0.0000e+00
113 0.0000e+00 0.0000e+00 1.0763e-04 2.1984e-05 1.0763e-04 2.7790e-01 0.0000e+00
114 0.0000e+00 0.0000e+00 1.0735e-04 2.0443e-05 1.0735e-04 2.7799e-01 0.0000e+00
115 0.0000e+00 0.0000e+00 1.0705e-04 1.9011e-05 1.0705e-04 2.7808e-01 0.0000e+00
116 0.0000e+00 0.0000e+00 1.0676e-04 1.7681e-05 1.0676e-04 2.7817e-01 0.0000e+00
117 0.0000e+00 1.0200e-05 1.0646e-04 1.6445e-05 1.0646e-04 2.7826e-01 0.0000e+00
118 0.0000e+00 1.9800e-05 1.0616e-04 1.5297e-05 1.0616e-04 2.7835e-01 0.0000e+00
119 0.0000e+00 2.8000e-05 1.0586e-04 1.4230e-05 1.0586e-04 2.7844e-01 0.0000e+00
120 0.0000e+00 3.4200e-05 1.0556e-04 1.3239e-05 1.0556e-04 2.7853e-01 0.0000e+00
121 0.0000e+00 3.7900e-05 1.0526e-04 1.2318e-05 1.0526e-04 2.7863e-01 0.0000e+00
122 0.0000e+00 3.9500e-05 1.0495e-04 1.1462e-05 1.0495e-04 2.7872e-01 0.0000e+00
123 0.0000e+00 3.7900e-05 1.0465e-04 1.0666e-05 1.0465e-04 2.7881e-01 0.0000e+00
124 0.0000e+00 3.4200e-05 1.0434e-04 9.9260e-06 1.0434e-04 2.7891e-01 0.0000e+00
125 0.0000e+00 2.8000e-05 1.0403e-04 9.2384e-06 1.0403e-04 2.7900e-01 0.0000e+00
126 0.0000e+00 1.9800e-05 1.0372e-04 8.5991e-06 1.0372e-04 2.7910e-01 0.0000e+00
